m,n,pctjeRayos,ECM,tiempo
25,25,100,17674,26900.1
25,25,100,19484.6,27129.3
25,25,100,20324.6,27237
25,25,100,21777.9,26995.1
25,25,100,22956.8,27114.9
25,25,110,23144.1,28560.4
25,25,110,23671.8,28050
25,25,110,23920.5,28560.7
25,25,110,24852.7,28392
25,25,110,25615.2,28410
25,25,120,25515.3,29718
25,25,120,23955.1,29742.5
25,25,120,24594.2,29783.1
25,25,120,24727.5,29659.9
25,25,120,25317.2,29660.3
25,25,130,25856.5,30699.1
25,25,130,26433.6,31077.6
25,25,130,24389.3,31028.2
25,25,130,24194.2,30886.1
25,25,130,25789.1,31000
25,25,140,26370.3,32597.6
25,25,140,26493.5,32143.3
25,25,140,26064.8,32194.4
25,25,140,25706.3,32014.5
25,25,140,25373.7,32126.6
25,25,150,26750.5,33411.4
25,25,150,26994.7,33339.1
25,25,150,25166.7,33467.2
25,25,150,25588.5,33291.6
25,25,150,25667,33543.2
25,25,160,24867.6,34650.5
25,25,160,24687.5,34777
25,25,160,26402.7,35551.7
25,25,160,27033.3,34573.4
25,25,160,26006.7,35144
25,25,170,24804.9,36439.3
25,25,170,25992.5,35867.7
25,25,170,25057.6,35907
25,25,170,25017.8,35900.4
25,25,170,25324.5,35909
25,25,180,25528.6,37205.5
25,25,180,26028.9,37502.3
25,25,180,26298.5,37071.7
25,25,180,26213,37473.6
25,25,180,26212.2,37286.1
25,25,190,26074.2,38773.3
25,25,190,26648.9,38436.1
25,25,190,25455.9,38751.9
25,25,190,25499.5,38932.6
25,25,190,26686.8,39044.8
25,25,200,25511.5,40460.6
25,25,200,26344.8,39771.1
25,25,200,25657,39605.2
25,25,200,26055.2,39566.9
25,25,200,26249.8,40342.8
25,25,210,26996.7,41184.3
25,25,210,26325.5,40901.8
25,25,210,26952.9,41582.9
25,25,210,26601.7,40732.7
25,25,210,27022.7,41059.6
25,25,220,25817.8,42005.2
25,25,220,27105.5,42603.6
25,25,220,25694,42144.6
25,25,220,26567.4,41760.5
25,25,220,26910.6,42677.7
25,25,230,26538.5,43524.7
25,25,230,26474.5,43275
25,25,230,26913.4,43510
25,25,230,26635.2,43172
25,25,230,26444.3,43915.8
25,25,240,27554.5,44050.5
25,25,240,26332.7,44238.9
25,25,240,27319.2,45181
25,25,240,27253.4,44818.3
25,25,240,26407,44778
25,25,250,25872.6,45742.3
25,25,250,27196.9,46268.7
25,25,250,27195.9,46361
25,25,250,26695.3,45778.6
25,25,250,27149.1,46496
25,25,260,25248.4,47271.3
25,25,260,27681.8,47018.4
25,25,260,27274.6,47489.1
25,25,260,28647.6,47374.3
25,25,260,28414,47442.5
25,25,270,27977.8,48449.1
25,25,270,27144.9,48949.3
25,25,270,26393.8,48479.9
25,25,270,26030.2,48677
25,25,270,25985,48459.8
25,25,280,27675.5,50347.7
25,25,280,25486.7,49857
25,25,280,26758.8,49668.3
25,25,280,27302.2,49468.4
25,25,280,27223.6,50121.1
25,25,290,27258.8,50947.8
25,25,290,27795.6,51027.6
25,25,290,27484.7,50510.6
25,25,290,27109.8,51320.4
25,25,290,27378.2,50979.9
25,25,300,27033.2,52176.4
25,25,300,26836.6,52128.7
25,25,300,26924.2,52500.6
25,25,300,27204.1,52128.5
25,25,300,27263.6,51822.5
