m,n,pctjeRayos,ECM,tiempo
25,25,100,0.125394,20425.9
25,25,100,0.105602,20289.1
25,25,100,0.135046,19885.2
25,25,100,0.112825,20470.3
25,25,100,0.110995,20362
25,25,110,0.100058,20950.3
25,25,110,0.10541,20937
25,25,110,0.101073,21048.9
25,25,110,0.108435,21008.8
25,25,110,0.122699,20583.1
25,25,120,0.103841,21750.5
25,25,120,0.107957,21734.5
25,25,120,0.119203,21459.7
25,25,120,0.118828,21713.8
25,25,120,0.104311,21710.7
25,25,130,0.11014,22226.7
25,25,130,0.110104,22500.5
25,25,130,0.0884589,22544.3
25,25,130,0.0875824,22473.2
25,25,130,0.102995,22309.3
25,25,140,0.0930153,23044.5
25,25,140,0.0974165,22970.3
25,25,140,0.0954296,23088.5
25,25,140,0.0860571,23100.7
25,25,140,0.0922237,22723.3
25,25,150,0.0746013,23745.7
25,25,150,0.0886052,23682.5
25,25,150,0.102324,24601
25,25,150,0.0794159,23713.3
25,25,150,0.0862392,23878.9
25,25,160,0.070618,24382.6
25,25,160,0.0824314,24305.3
25,25,160,0.0771339,24492.7
25,25,160,0.106628,24335.5
25,25,160,0.0819335,24253.9
25,25,170,0.0935705,24855.6
25,25,170,0.091292,24946.5
25,25,170,0.0681349,24970.6
25,25,170,0.0804759,25169.6
25,25,170,0.100104,24948.5
25,25,180,0.079742,25976.8
25,25,180,0.0734106,26011.9
25,25,180,0.0603429,25517.6
25,25,180,0.0802234,25875.3
25,25,180,0.0749836,25896.9
25,25,190,0.0795266,26729
25,25,190,0.0859038,26522.3
25,25,190,0.07827,26730.2
25,25,190,0.0786328,26478.6
25,25,190,0.0777644,26488
25,25,200,0.0940998,27127.4
25,25,200,0.0777568,28149.3
25,25,200,0.0873185,26880.3
25,25,200,0.072414,26930.7
25,25,200,0.0711474,27226.4
25,25,210,0.061229,27695
25,25,210,0.0859035,27709
25,25,210,0.0789076,27493.2
25,25,210,0.0767961,27411.9
25,25,210,0.0735995,27417.1
25,25,220,0.0666856,28156
25,25,220,0.0851004,28010.1
25,25,220,0.0929002,28082.1
25,25,220,0.0811517,28278.5
25,25,220,0.0903039,28242.3
25,25,230,0.0638159,28812.7
25,25,230,0.0859767,28896.6
25,25,230,0.0656943,28872.3
25,25,230,0.0578997,28743.3
25,25,230,0.0861466,28738.6
25,25,240,0.0771965,29804.4
25,25,240,0.0634565,29621.6
25,25,240,0.0662104,29698.9
25,25,240,0.0563334,29610.8
25,25,240,0.0781394,29511.5
25,25,250,0.0667291,30052.2
25,25,250,0.0695375,30013.8
25,25,250,0.0633668,30121.9
25,25,250,0.0679584,30280.7
25,25,250,0.0660543,30402.8
25,25,260,0.0836846,31145.4
25,25,260,0.0606107,30892
25,25,260,0.0723433,30839.1
25,25,260,0.0852441,30647.4
25,25,260,0.0598563,30910.4
25,25,270,0.071292,31591.8
25,25,270,0.0719021,31318.9
25,25,270,0.0528324,31699.1
25,25,270,0.0780525,31563.3
25,25,270,0.0659926,31391.8
25,25,280,0.0704065,33132.5
25,25,280,0.0773548,31860.4
25,25,280,0.0654173,31963.5
25,25,280,0.0751702,31848.1
25,25,280,0.0717192,32022.3
25,25,290,0.0611052,32618.8
25,25,290,0.0704119,32484.4
25,25,290,0.0683282,32831.1
25,25,290,0.0543115,32514.2
25,25,290,0.0571335,32575.7
25,25,300,0.0587504,33009.1
25,25,300,0.0545751,33064.3
25,25,300,0.0586868,33307.3
25,25,300,0.0538617,32988.9
25,25,300,0.0569904,33132.4
