m,n,pctjeRayos,ECM,tiempo
25,25,510,0.0450022,44000.4
25,25,510,0.0483195,42974.2
25,25,510,0.0632047,42097.1
25,25,510,0.0483255,43459.1
25,25,510,0.0460043,43691.7
25,25,520,0.0446427,44032
25,25,520,0.0536884,43691.2
25,25,520,0.0484965,42882.9
25,25,520,0.046474,42290
25,25,520,0.0626149,42866.4
25,25,530,0.0509316,45580.6
25,25,530,0.0458633,44578.8
25,25,530,0.0419054,45101.2
25,25,530,0.0540172,44003.3
25,25,530,0.0418988,45366.1
25,25,540,0.0531774,44560.7
25,25,540,0.0766252,45036.3
25,25,540,0.0694925,45006.3
25,25,540,0.0442087,43608.2
25,25,540,0.0750002,43453
25,25,550,0.0640504,45591.3
25,25,550,0.0383253,45172
25,25,550,0.0481685,45785.6
25,25,550,0.0405352,46604.5
25,25,550,0.0469393,44587.8
25,25,560,0.0522008,46879.3
25,25,560,0.044606,45489.6
25,25,560,0.0425212,44555.1
25,25,560,0.0411993,44157.8
25,25,560,0.0402804,44054.5
25,25,570,0.0394667,44663
25,25,570,0.0418386,45862
25,25,570,0.0525666,45618.9
25,25,570,0.0668734,44922.3
25,25,570,0.0682614,46065.3
25,25,580,0.0420442,46909.9
25,25,580,0.0486865,46013.3
25,25,580,0.0428599,46648.1
25,25,580,0.0641078,45751.7
25,25,580,0.0451403,44895.9
25,25,590,0.0488147,45416.9
25,25,590,0.0477625,45533.3
25,25,590,0.038484,45646
25,25,590,0.0471543,47481.5
25,25,590,0.0419325,45859
25,25,600,0.0543929,47702.2
25,25,600,0.0494037,46368.6
25,25,600,0.0670407,47995.1
25,25,600,0.0393157,46217.7
25,25,600,0.0498236,46556.4
25,25,610,0.0385,48712.1
25,25,610,0.056314,48115.7
25,25,610,0.0546265,47654.6
25,25,610,0.0473711,48761.5
25,25,610,0.0492029,48641.8
25,25,620,0.0452356,47690.6
25,25,620,0.0479868,47796
25,25,620,0.0429534,48088.5
25,25,620,0.0493938,46986.5
25,25,620,0.0525653,47557.2
25,25,630,0.057094,47638.8
25,25,630,0.0398771,49277.2
25,25,630,0.03979,48211.4
25,25,630,0.0606092,49855.7
25,25,630,0.0409929,47518.1
25,25,640,0.0407826,48149.1
25,25,640,0.0363578,48889.9
25,25,640,0.0462379,49134.7
25,25,640,0.0490521,49283.2
25,25,640,0.0434727,48577.2
25,25,650,0.0414849,49291.5
25,25,650,0.0388492,50238.1
25,25,650,0.0482172,49135.6
25,25,650,0.0527625,51018.8
25,25,650,0.0425254,49272.8
25,25,660,0.0411421,49567.7
25,25,660,0.055561,50092.9
25,25,660,0.039406,49874.2
25,25,660,0.0494739,49991.3
25,25,660,0.0387565,51940.9
25,25,670,0.0380186,50682.7
25,25,670,0.0587624,50688.9
25,25,670,0.0478963,51636.6
25,25,670,0.0585043,50945.7
25,25,670,0.0423853,52698.4
25,25,680,0.0359746,51657.9
25,25,680,0.0402641,55791.8
25,25,680,0.0563166,53212.9
25,25,680,0.0374159,53950.8
25,25,680,0.0564825,55698.3
25,25,690,0.036728,54045.3
25,25,690,0.0527254,53706.4
25,25,690,0.0434937,54379.2
25,25,690,0.0450183,54381.2
25,25,690,0.0574262,52883.5
25,25,700,0.0526041,54024.2
25,25,700,0.0416224,53001.8
25,25,700,0.0426845,56739.4
25,25,700,0.0405628,55885.6
25,25,700,0.0415768,52900.4
