m,n,pctjeRayos,ECM,tiempo
25,25,100,0.11034,19710.9
25,25,100,0.101799,20097.7
25,25,100,0.119826,19868.3
25,25,100,0.118252,20071
25,25,100,0.129115,20135.1
25,25,110,0.103412,20356.1
25,25,110,0.114311,20884.6
25,25,110,0.13792,20902.1
25,25,110,0.128593,20907.3
25,25,110,0.123958,20389.6
25,25,120,0.107317,21491.9
25,25,120,0.0995098,21473.9
25,25,120,0.106007,21513.4
25,25,120,0.106826,21613.2
25,25,120,0.108237,21494.8
25,25,130,0.106729,22153.1
25,25,130,0.106298,22293.4
25,25,130,0.116331,21828.3
25,25,130,0.102921,22119.6
25,25,130,0.105331,21768.8
25,25,140,0.119573,22764.3
25,25,140,0.0999557,22858.4
25,25,140,0.0809728,22826.6
25,25,140,0.0850426,23002.6
25,25,140,0.0823594,22925.3
25,25,150,0.0801224,23517.3
25,25,150,0.081597,23905.9
25,25,150,0.0768637,23786.2
25,25,150,0.0897426,23694
25,25,150,0.0870814,23430.7
25,25,160,0.0835372,24214.6
25,25,160,0.0788027,24263.8
25,25,160,0.0756498,23827.4
25,25,160,0.095718,24300.4
25,25,160,0.0920428,24242.5
25,25,170,0.0754412,25046.7
25,25,170,0.0738613,24986.1
25,25,170,0.100071,24938.3
25,25,170,0.0626715,25024
25,25,170,0.095205,24894.8
25,25,180,0.0909286,25312.7
25,25,180,0.0710125,25576.2
25,25,180,0.0799174,25550.8
25,25,180,0.0739644,25822.7
25,25,180,0.0922083,25620.6
25,25,190,0.088867,26085.8
25,25,190,0.0781774,26360.8
25,25,190,0.0718875,26059.8
25,25,190,0.0827099,26243
25,25,190,0.0983892,26429.9
25,25,200,0.0885919,26917.3
25,25,200,0.0723661,26855.5
25,25,200,0.0650732,26899
25,25,200,0.0716658,26758.4
25,25,200,0.0912408,26844
25,25,210,0.0636048,27739.5
25,25,210,0.0857496,27848.1
25,25,210,0.0785924,27573.2
25,25,210,0.0783347,27457.5
25,25,210,0.0790952,27728.1
25,25,220,0.0693621,28240.1
25,25,220,0.0685447,28207.6
25,25,220,0.0658362,28217.1
25,25,220,0.0626256,28320.2
25,25,220,0.0626382,28162.6
25,25,230,0.0612792,28895.8
25,25,230,0.073294,28732
25,25,230,0.0912665,28926.4
25,25,230,0.0863987,28778.8
25,25,230,0.090291,28703.3
25,25,240,0.064303,29531.7
25,25,240,0.0657519,29481
25,25,240,0.067711,29456.2
25,25,240,0.0730458,29307
25,25,240,0.0610672,29326.5
25,25,250,0.0661766,30119.7
25,25,250,0.0684069,30114.6
25,25,250,0.0563552,30021.5
25,25,250,0.0872295,30029.2
25,25,250,0.0609261,30209.3
25,25,260,0.0764799,30752
25,25,260,0.0760736,30852.2
25,25,260,0.0619874,30656.4
25,25,260,0.061015,30691
25,25,260,0.0650549,30657.2
25,25,270,0.0575132,31340.6
25,25,270,0.0706306,31582.3
25,25,270,0.0669879,31366.5
25,25,270,0.0649818,31132.1
25,25,270,0.0662835,31471.6
25,25,280,0.0681886,31977.3
25,25,280,0.0551226,32029.9
25,25,280,0.0505352,31942.6
25,25,280,0.0636675,32152.7
25,25,280,0.0559165,32206.1
25,25,290,0.0764373,32370.8
25,25,290,0.0638329,32603.3
25,25,290,0.0496529,32524.3
25,25,290,0.0822173,33089.6
25,25,290,0.0632784,32662.8
25,25,300,0.0659752,33217.8
25,25,300,0.0577191,33197.2
25,25,300,0.0575504,33175.6
25,25,300,0.0607892,33181.8
25,25,300,0.0605845,33302.1
