m,n,pctjeRayos,ECM,tiempo
25,25,310,0.0483767,33891.5
25,25,310,0.0651807,34485.8
25,25,310,0.0609966,33897
25,25,310,0.0589731,33754.8
25,25,310,0.0523051,33819.2
25,25,320,0.0625149,34411
25,25,320,0.0545523,34162.4
25,25,320,0.0593764,34456.4
25,25,320,0.05876,34298.2
25,25,320,0.0610174,34594.2
25,25,330,0.0512612,34959.3
25,25,330,0.0713608,35076
25,25,330,0.0569537,35599.2
25,25,330,0.0826117,35059.5
25,25,330,0.0500589,34928.6
25,25,340,0.0568934,35701
25,25,340,0.064904,35810
25,25,340,0.0824215,35562.2
25,25,340,0.0577703,35621.9
25,25,340,0.0606932,35719.2
25,25,350,0.055351,36117.2
25,25,350,0.0584832,36562.8
25,25,350,0.05474,36251.8
25,25,350,0.054907,36223
25,25,350,0.0822223,36802.9
25,25,360,0.0688163,36860
25,25,360,0.0740949,36926.3
25,25,360,0.0658077,37102
25,25,360,0.0505245,37120.4
25,25,360,0.0767445,37049
25,25,370,0.0514633,38251.9
25,25,370,0.0473512,37925.4
25,25,370,0.067141,37615.8
25,25,370,0.0511329,38497.3
25,25,370,0.0551723,37527.2
25,25,380,0.0706046,38240.5
25,25,380,0.0554753,38425.3
25,25,380,0.061214,38957.2
25,25,380,0.0603398,38270
25,25,380,0.0569917,37946.1
25,25,390,0.0696954,39034.9
25,25,390,0.0529317,39214.5
25,25,390,0.0485615,38950.4
25,25,390,0.0503059,39587.6
25,25,390,0.057997,39642.6
25,25,400,0.047786,40517.5
25,25,400,0.0526053,39585.9
25,25,400,0.051501,39638.2
25,25,400,0.0418025,39298.1
25,25,400,0.050081,39271
25,25,410,0.051578,40806.6
25,25,410,0.0435752,40552.3
25,25,410,0.0491847,40775.2
25,25,410,0.0436197,39980.5
25,25,410,0.0523439,40776.8
25,25,420,0.0482254,40783.8
25,25,420,0.0442447,40733.1
25,25,420,0.0456683,40619.6
25,25,420,0.052056,40537.5
25,25,420,0.0501288,40983
25,25,430,0.0519753,41128.2
25,25,430,0.0622837,41439.1
25,25,430,0.0752013,41800.4
25,25,430,0.0613495,41320.1
25,25,430,0.041829,41332.1
25,25,440,0.0445259,42013.2
25,25,440,0.0478219,42200.9
25,25,440,0.051292,42140.5
25,25,440,0.0408098,41552.9
25,25,440,0.0458981,41912.9
25,25,450,0.0515342,42621.3
25,25,450,0.0576649,43034.5
25,25,450,0.0477255,43102.1
25,25,450,0.0424344,42818.6
25,25,450,0.0649626,42657.9
25,25,460,0.043795,43614.6
25,25,460,0.0455166,43815.1
25,25,460,0.053738,42817.7
25,25,460,0.0664979,43784.9
25,25,460,0.0553817,43721.8
25,25,470,0.0447578,43790.7
25,25,470,0.0655815,43569.6
25,25,470,0.0487898,44195.6
25,25,470,0.0462237,43724.8
25,25,470,0.0487312,44230.8
25,25,480,0.0435899,44205.1
25,25,480,0.0585493,44320.4
25,25,480,0.0504395,44719.4
25,25,480,0.0562482,44216.3
25,25,480,0.0432672,44459.5
25,25,490,0.0490814,45268.5
25,25,490,0.0570056,45300.8
25,25,490,0.0505323,46032.2
25,25,490,0.0477312,45181.7
25,25,490,0.0487641,45373.7
