m,n,pctjeRayos,ECM,tiempo
25,25,100,304486,27793.5
25,25,100,325974,27846.9
25,25,100,335181,27467.1
25,25,100,455565,27530.8
25,25,100,367353,27742
25,25,110,610403,29017.1
25,25,110,396780,28968.4
25,25,110,414913,28824.2
25,25,110,373216,29084.5
25,25,110,364127,29063.6
25,25,120,461451,30474.3
25,25,120,375962,30285
25,25,120,409054,30239.3
25,25,120,439016,30165
25,25,120,382595,30205.9
25,25,130,366633,31660.1
25,25,130,360785,31435.7
25,25,130,364370,31479.8
25,25,130,414473,31724.7
25,25,130,378570,31454.6
25,25,140,331999,32632.6
25,25,140,388319,33003.9
25,25,140,381284,32927
25,25,140,324918,32664.2
25,25,140,382398,32715.8
25,25,150,319631,34293.1
25,25,150,350854,34234.7
25,25,150,356537,34476.1
25,25,150,367839,33815.7
25,25,150,326090,34001.1
25,25,160,305846,35680
25,25,160,325659,35359.7
25,25,160,352259,35344.9
25,25,160,315846,35660.9
25,25,160,387104,35336.3
25,25,170,302571,36799.2
25,25,170,396364,36682.7
25,25,170,326799,36906.9
25,25,170,383381,37003.4
25,25,170,353444,37116.5
25,25,180,360612,38184.8
25,25,180,351610,38029.8
25,25,180,413191,38383.4
25,25,180,296985,38704.7
25,25,180,304174,37879.2
25,25,190,308461,39308.9
25,25,190,298542,39490.8
25,25,190,322027,39741.5
25,25,190,333120,39145.5
25,25,190,313070,39422.7
25,25,200,322150,40396.7
25,25,200,283749,40398.4
25,25,200,284391,40862.4
25,25,200,362886,40428.5
25,25,200,393217,40652.4
25,25,210,314512,42373.7
25,25,210,313171,41580
25,25,210,308388,41851.6
25,25,210,289086,42411.1
25,25,210,332425,41953.7
25,25,220,294015,42991.1
25,25,220,276693,43100.4
25,25,220,390172,42708
25,25,220,306403,43402
25,25,220,281608,42995.5
25,25,230,275866,44119.5
25,25,230,275312,44789.1
25,25,230,271408,45249.4
25,25,230,282948,44002.9
25,25,230,284661,44042.9
25,25,240,286495,45770.7
25,25,240,295379,45971.6
25,25,240,295633,45446.4
25,25,240,283654,45703.7
25,25,240,273531,45407
25,25,250,324573,46942.6
25,25,250,288536,47323.7
25,25,250,293985,46863
25,25,250,303081,47273.2
25,25,250,308080,47351.6
25,25,260,273136,48485.1
25,25,260,286399,48399.9
25,25,260,286689,48635.9
25,25,260,284475,47927.1
25,25,260,282913,48967.8
25,25,270,269738,49681
25,25,270,265286,49231.6
25,25,270,278348,49891.3
25,25,270,277967,49156.2
25,25,270,275401,49756.9
25,25,280,277853,50630.2
25,25,280,321626,50729
25,25,280,284691,50673.7
25,25,280,283245,51112.2
25,25,280,271394,50871.9
25,25,290,277147,52546.6
25,25,290,290790,52442.4
25,25,290,284477,51904.1
25,25,290,318566,52266.8
25,25,290,277229,52130.4
25,25,300,270220,53971.4
25,25,300,280559,53741.3
25,25,300,271626,53424.3
25,25,300,271847,53811.7
25,25,300,297758,53910
