m,n,pctjeRayos,ECM,tiempo
25,25,100,18501.2,7733.56
25,25,100,18669.3,7699.48
25,25,100,18867.2,7747.62
25,25,100,18867.2,7700.13
25,25,100,18763.2,7729.66
25,25,110,18519.7,8407.3
25,25,110,18261.7,8431.1
25,25,110,18453.4,8416.69
25,25,110,18472.6,8427.64
25,25,110,18611.7,8418.41
25,25,120,18763.2,9263.5
25,25,120,18581.6,9123.91
25,25,120,18661.4,9130.3
25,25,120,18659.1,9129.08
25,25,120,18599.1,9219.89
25,25,130,18681.8,9963.32
25,25,130,18529.6,10092.6
25,25,130,18634.2,9858.95
25,25,130,18602.5,9961.02
25,25,130,18576.4,9873.19
25,25,140,18867.2,10690.4
25,25,140,18867.2,10639.7
25,25,140,18867.2,10647.5
25,25,140,18867.2,10670.1
25,25,140,18867.2,10707
25,25,150,18599.8,11464.5
25,25,150,18568.7,11441.6
25,25,150,18398,11437.9
25,25,150,18151.9,11439.6
25,25,150,17783.2,11434.8
25,25,160,18633,12347.1
25,25,160,18631.7,12359.5
25,25,160,18243.6,12394.1
25,25,160,17657.7,12372.2
25,25,160,17195.2,12445.5
25,25,170,17259,13351.3
25,25,170,16904.8,12948.3
25,25,170,16898.2,13139.7
25,25,170,16835,13119.3
25,25,170,16993.4,13041.2
25,25,180,16825.7,13926.3
25,25,180,16866.1,13767.2
25,25,180,17791.7,13801.6
25,25,180,17999.8,13686.1
25,25,180,16905.4,13721.2
25,25,190,17126.1,15066.3
25,25,190,17414.9,14930.6
25,25,190,18027.9,14604.2
25,25,190,18072.8,14643.8
25,25,190,16835,14623
25,25,200,17352.8,15736.5
25,25,200,17206.3,15826.7
25,25,200,16875.3,16187
25,25,200,17008.4,16151.9
25,25,200,17260.1,16024.2
25,25,210,18867.2,16060.6
25,25,210,18867.2,16222.6
25,25,210,18867.2,16115.4
25,25,210,18867.2,16021.2
25,25,210,18867.2,16011.4
25,25,220,16986.7,17177.6
25,25,220,17310.9,17262.7
25,25,220,16927,17179.8
25,25,220,16904.8,17328.4
25,25,220,16882.7,17176.9
25,25,230,17069.1,17755.5
25,25,230,16947,18128.4
25,25,230,16939,18160.4
25,25,230,17043.4,18064.5
25,25,230,16939,18055.9
25,25,240,17016.1,18149
25,25,240,17120.1,18148.4
25,25,240,17016.1,18142.7
25,25,240,17016.1,18323.5
25,25,240,17016.1,18135.8
25,25,250,16835,19235.4
25,25,250,16912.1,19617.7
25,25,250,17224.2,19227.2
25,25,250,17816.7,19087.8
25,25,250,18016.7,19552.8
25,25,260,18867.2,19903.8
25,25,260,18838.7,19877
25,25,260,18837.3,20051.2
25,25,260,18867.2,19789.5
25,25,260,18867.2,20052.3
25,25,270,18539.2,20669.3
25,25,270,18532.2,20658.6
25,25,270,18631.9,20726.7
25,25,270,18595.1,21097
25,25,270,18659.1,20768.3
25,25,280,18650.4,21644.6
25,25,280,18397.5,22244.7
25,25,280,18359.3,21443.9
25,25,280,18528.8,22158.9
25,25,280,18659.1,21389.5
25,25,290,18295.4,23065.8
25,25,290,18626.5,22217.6
25,25,290,18431,23178.7
25,25,290,17495,22929
25,25,290,17661.5,22400.7
25,25,300,17451.9,23620
25,25,300,17607.7,23112.1
25,25,300,18339.3,23890.1
25,25,300,17446.7,22907.2
25,25,300,17862.4,23722.8
