m,n,pctjeRayos,ECM,tiempo
25,25,100,0.24206,3875.31
25,25,100,0.239466,3865.53
25,25,100,0.242337,3876.23
25,25,100,0.231667,3871.62
25,25,100,0.242948,3866.36
25,25,110,0.473607,4350.71
25,25,110,0.471248,4366.2
25,25,110,0.488691,4426.35
25,25,110,0.492373,4420.7
25,25,110,0.485328,4414.84
25,25,120,0.474511,4679.48
25,25,120,0.470796,4656.05
25,25,120,0.476468,4650.89
25,25,120,0.470771,4658.43
25,25,120,0.47298,4652.73
25,25,130,0.46786,4987.89
25,25,130,0.467835,4987.14
25,25,130,0.468412,4986.25
25,25,130,0.467835,4985.52
25,25,130,0.467835,4982.05
25,25,140,0.237589,5399.21
25,25,140,0.230429,5392.66
25,25,140,0.246089,5398.89
25,25,140,0.240562,5396.3
25,25,140,0.236335,5387.18
25,25,150,0.137115,5786.17
25,25,150,0.216453,5801.49
25,25,150,0.211497,5794.3
25,25,150,0.240512,5813.9
25,25,150,0.125598,5792.79
25,25,160,0.470445,6096.09
25,25,160,0.468236,6113.88
25,25,160,0.468813,6103.36
25,25,160,0.468236,6106
25,25,160,0.468261,6088.82
25,25,170,0.468813,6558.19
25,25,170,0.468236,6588.49
25,25,170,0.468813,6615.53
25,25,170,0.468813,6562.81
25,25,170,0.468261,6575.29
25,25,180,0.235386,6829.85
25,25,180,0.217224,6846.61
25,25,180,0.21317,6831.8
25,25,180,0.225237,6898.23
25,25,180,0.209095,6847.41
25,25,190,0.223571,7294.29
25,25,190,0.242938,7328.1
25,25,190,0.227001,7290.71
25,25,190,0.208126,7292.37
25,25,190,0.229288,7322.51
25,25,200,0.234951,7639.06
25,25,200,0.213287,7638.41
25,25,200,0.21302,7700.16
25,25,200,0.237262,7652.22
25,25,200,0.193693,7640.28
25,25,210,0.245436,8013.37
25,25,210,0.242291,8046.28
25,25,210,0.237697,8037.49
25,25,210,0.224232,8009.25
25,25,210,0.240149,8028.09
25,25,220,0.467835,8365.14
25,25,220,0.46786,8364.59
25,25,220,0.475841,8377.44
25,25,220,0.467835,8413.84
25,25,220,0.468412,8481.5
25,25,230,0.486901,8804.73
25,25,230,0.486901,8796.71
25,25,230,0.481061,8779.78
25,25,230,0.486902,8802.46
25,25,230,0.478351,8836.18
25,25,240,0.469039,9086.28
25,25,240,0.469039,9112.48
25,25,240,0.469064,9107.83
25,25,240,0.469039,9150.6
25,25,240,0.469039,9082.62
25,25,250,0.46786,9528.13
25,25,250,0.46786,9631.82
25,25,250,0.468437,9531.49
25,25,250,0.46786,9515.41
25,25,250,0.471599,9514.15
25,25,260,0.469918,10062.2
25,25,260,0.46786,9965.39
25,25,260,0.467835,9944.47
25,25,260,0.468412,9977.67
25,25,260,0.467835,9963.21
25,25,270,0.474084,10295
25,25,270,0.475584,10263.2
25,25,270,0.475439,10276.5
25,25,270,0.472403,10271.8
25,25,270,0.476123,10270.8
25,25,280,0.180613,10757.5
25,25,280,0.24066,10729.3
25,25,280,0.24006,10744.5
25,25,280,0.241777,10756.5
25,25,280,0.237894,10807.6
25,25,290,0.468236,10974.7
25,25,290,0.468261,11023.9
25,25,290,0.468813,10996.3
25,25,290,0.468236,11033.5
25,25,290,0.468236,11040
25,25,300,0.470771,11433.5
25,25,300,0.473431,11435.6
25,25,300,0.470771,11435.7
25,25,300,0.470771,11441.7
25,25,300,0.470771,11458.6
