m,n,pctjeRayos,ECM,tiempo
25,25,100,0.240302,3854.84
25,25,100,0.219887,3858.4
25,25,100,0.210314,3857.36
25,25,100,0.213505,3857.99
25,25,100,0.228742,3866.14
25,25,110,0.492354,4332.37
25,25,110,0.492354,4343.33
25,25,110,0.491074,4345.93
25,25,110,0.490423,4333.82
25,25,110,0.492355,4330.29
25,25,120,0.477297,4643.61
25,25,120,0.470771,4645.13
25,25,120,0.474511,4639.25
25,25,120,0.477297,4640.6
25,25,120,0.470771,4647.79
25,25,130,0.469943,4977.22
25,25,130,0.467835,4988.72
25,25,130,0.467835,4979.25
25,25,130,0.46786,4973.43
25,25,130,0.468412,4981.49
25,25,140,0.2352,5416.9
25,25,140,0.238929,5442.33
25,25,140,0.216376,5441.51
25,25,140,0.245789,5395.96
25,25,140,0.239927,5393.29
25,25,150,0.211249,5793.11
25,25,150,0.153201,5811.59
25,25,150,0.162162,5805.05
25,25,150,0.110659,5803.25
25,25,150,0.0962491,5872.57
25,25,160,0.468813,6090.18
25,25,160,0.468236,6168.37
25,25,160,0.468261,6085.53
25,25,160,0.470445,6083.98
25,25,160,0.468813,6087.62
25,25,170,0.468236,6577.2
25,25,170,0.468261,6574.79
25,25,170,0.468261,6543.57
25,25,170,0.470897,6572.3
25,25,170,0.468236,6553.83
25,25,180,0.232923,6863.43
25,25,180,0.21176,6830.6
25,25,180,0.238135,6818.43
25,25,180,0.244892,6849.42
25,25,180,0.234466,6820.22
25,25,190,0.225237,7280.35
25,25,190,0.211156,7287.12
25,25,190,0.237153,7283.86
25,25,190,0.23924,7283.09
25,25,190,0.224611,7291.39
25,25,200,0.233008,7664.07
25,25,200,0.219316,7688.36
25,25,200,0.222351,7671.64
25,25,200,0.228104,7678.71
25,25,200,0.235308,7672.49
25,25,210,0.219345,8035.65
25,25,210,0.240855,8057.45
25,25,210,0.224183,8043.21
25,25,210,0.243034,8029.32
25,25,210,0.2282,8030.04
25,25,220,0.471574,8419.04
25,25,220,0.470043,8355.94
25,25,220,0.46786,8361.34
25,25,220,0.475841,8380.71
25,25,220,0.468412,8360.67
25,25,230,0.486884,8820.06
25,25,230,0.486884,8824.37
25,25,230,0.474686,8847.97
25,25,230,0.474686,8872.73
25,25,230,0.486882,8818.53
25,25,240,0.472779,9113.59
25,25,240,0.469039,9192.72
25,25,240,0.469039,9105.71
25,25,240,0.472779,9147.14
25,25,240,0.469039,9103.34
25,25,250,0.46786,9601.19
25,25,250,0.469943,9631.23
25,25,250,0.471599,9619.19
25,25,250,0.46786,9651.18
25,25,250,0.46786,9739.27
25,25,260,0.467835,9886.97
25,25,260,0.469918,9887.24
25,25,260,0.467835,10011.5
25,25,260,0.467835,9982.89
25,25,260,0.467835,9899.87
25,25,270,0.479091,10252.6
25,25,270,0.475526,10277.6
25,25,270,0.475527,10290.2
25,25,270,0.473896,10242.9
25,25,270,0.475401,10263.1
25,25,280,0.245176,10684.4
25,25,280,0.202043,10660.1
25,25,280,0.237423,10700.5
25,25,280,0.225858,10746.4
25,25,280,0.222875,10720.1
25,25,290,0.468261,11259
25,25,290,0.468236,11154
25,25,290,0.468236,11248.8
25,25,290,0.468261,11247.4
25,25,290,0.468236,11207.8
25,25,300,0.470771,11385.5
25,25,300,0.470771,11391.8
25,25,300,0.471348,11399.6
25,25,300,0.470771,11372.5
25,25,300,0.470771,11372.8
