m,n,pctjeRayos,ECM,tiempo
25,25,100,3.35066e+06,8115.08
25,25,100,3.67288e+06,8155.38
25,25,100,3.51514e+06,8104.35
25,25,100,3.69484e+06,8107.78
25,25,100,3.7131e+06,8114.77
25,25,110,7.33872e+34,8902.46
25,25,110,1.83632e+34,8858.58
25,25,110,5.92593e+34,8899.53
25,25,110,2.90193e+35,8875.91
25,25,110,2.75311e+35,8912.75
25,25,120,1.10386e+37,9644.13
25,25,120,1.12319e+37,9727.08
25,25,120,1.06416e+37,9683.6
25,25,120,1.19569e+37,9777.35
25,25,120,1.63765e+37,9601.49
25,25,130,2.18264e+36,10696.9
25,25,130,1.77251e+36,10443.9
25,25,130,1.95223e+36,10429.1
25,25,130,1.58551e+36,10410
25,25,130,1.51687e+36,10435
25,25,140,4.39236e+06,11388
25,25,140,4.5329e+06,11431
25,25,140,4.73096e+06,11352.9
25,25,140,4.90141e+06,11218.7
25,25,140,5.27048e+06,11297.9
25,25,150,5.29496e+37,12306.3
25,25,150,4.24857e+37,12236.2
25,25,150,8.23875e+36,12324.9
25,25,150,9.56977e+35,12221.4
25,25,150,2.55214e+36,12252.7
25,25,160,8.38099e+35,12789.4
25,25,160,5.02574e+35,12733.7
25,25,160,2.93061e+36,12729.4
25,25,160,5.86586e+36,12835.8
25,25,160,3.79165e+36,12770.3
25,25,170,7.35374e+36,13665
25,25,170,5.48348e+36,13637.9
25,25,170,6.39892e+36,13736.3
25,25,170,2.11784e+36,13596.6
25,25,170,4.69911e+36,13615.3
25,25,180,2.17733e+37,14706.4
25,25,180,8.31409e+36,14418.8
25,25,180,3.19165e+36,14400.4
25,25,180,1.71622e+37,14673.8
25,25,180,2.02615e+37,14762.9
25,25,190,3.67577e+35,15359.9
25,25,190,3.30151e+35,15279.2
25,25,190,3.86896e+35,15695.1
25,25,190,1.65371e+35,15388.7
25,25,190,7.95749e+34,15301.4
25,25,200,1.50961e+37,15931
25,25,200,2.58162e+37,15961.8
25,25,200,5.50516e+37,15865.1
25,25,200,4.79549e+37,15985.3
25,25,200,5.43678e+37,15923.7
25,25,210,5.4391e+06,16771.9
25,25,210,5.02549e+06,16788.3
25,25,210,4.68213e+06,16789.2
25,25,210,4.6065e+06,16811
25,25,210,4.67132e+06,17375.8
25,25,220,1.76889e+37,17727.1
25,25,220,2.25793e+37,17583.7
25,25,220,2.09934e+37,17541.5
25,25,220,1.75368e+37,17538.8
25,25,220,1.38464e+37,18126.4
25,25,230,1.0234e+36,18560.9
25,25,230,1.69779e+36,18540
25,25,230,1.81716e+36,19045.9
25,25,230,5.13235e+36,19053.8
25,25,230,8.0373e+36,18468.8
25,25,240,4.1075e+37,19086.1
25,25,240,2.19485e+37,19115.1
25,25,240,2.54115e+37,19122.9
25,25,240,1.56347e+37,19285
25,25,240,1.49025e+37,19335.6
25,25,250,6.05247e+35,20294.2
25,25,250,7.39558e+35,20016.3
25,25,250,4.30173e+35,20228.8
25,25,250,8.4557e+35,20156.5
25,25,250,1.09963e+36,20197.4
25,25,260,4.3905e+06,20738.6
25,25,260,4.57963e+06,20713.1
25,25,260,4.79594e+06,20712.2
25,25,260,4.88818e+06,20719
25,25,260,4.69081e+06,20837.2
25,25,270,3.69566e+37,21883
25,25,270,2.58015e+37,22265.1
25,25,270,6.95639e+37,21622.4
25,25,270,3.3501e+37,21625.5
25,25,270,1.02517e+38,21685.6
25,25,280,1.29647e+38,22249.5
25,25,280,2.00639e+38,22212.7
25,25,280,2.46337e+38,22268.6
25,25,280,1.91508e+38,22204.2
25,25,280,1.19798e+38,22216.9
25,25,290,4.64076e+37,23998.9
25,25,290,4.1936e+37,23209.2
25,25,290,3.76052e+37,23234.1
25,25,290,4.55312e+37,23206.5
25,25,290,3.92055e+37,23194.8
25,25,300,5.89539e+36,23951.9
25,25,300,4.53724e+36,24047.7
25,25,300,2.9961e+36,24641.8
25,25,300,2.53129e+36,24616
25,25,300,4.17233e+36,23926
