m,n,pctjeRayos,ECM,tiempo
25,25,100,23032.1,10587.6
25,25,100,20245.4,10462.1
25,25,100,20625.9,10484.9
25,25,100,21127.3,10584.5
25,25,100,21033.7,10638.1
25,25,110,24417.5,17027.3
25,25,110,23458.4,17225.7
25,25,110,22921.6,17085.2
25,25,110,23227,17158.8
25,25,110,21478.6,17042.9
25,25,120,23506,25089.7
25,25,120,23034.7,25527.8
25,25,120,23924,25128.6
25,25,120,23220.5,25279.5
25,25,120,24080.5,25060.2
25,25,130,21813.2,14220
25,25,130,23844.7,14283
25,25,130,22627.5,14321.1
25,25,130,21671.3,14300.8
25,25,130,23067.3,14369.4
25,25,140,23571.6,14383.1
25,25,140,21572.9,14361.9
25,25,140,23659.8,14299.9
25,25,140,23631.9,14349.3
25,25,140,23820.5,14351.1
25,25,150,23141.8,15707.5
25,25,150,22028.2,15306.6
25,25,150,23081.7,15401.2
25,25,150,21566.9,15629.8
25,25,150,21849.2,15322.5
25,25,160,24242.4,25698.9
25,25,160,22733.2,25838.8
25,25,160,23618.1,25771.2
25,25,160,23363.4,25803.9
25,25,160,22605.1,25846.7
25,25,170,22591.8,18832.4
25,25,170,21619.7,18865.8
25,25,170,22799.7,18812.4
25,25,170,22743.9,18783.7
25,25,170,24365.2,18670.5
25,25,180,21439.7,17522.5
25,25,180,21535.2,17505.4
25,25,180,22129.5,17474.2
25,25,180,22717.3,17567.8
25,25,180,21569.9,17500.3
25,25,190,25304.4,18865
25,25,190,22491.5,18448.5
25,25,190,21891.7,18534.8
25,25,190,21577.8,18524.8
25,25,190,20931.3,18509.6
25,25,200,20882.8,23182.5
25,25,200,21844.2,23197.5
25,25,200,22441,23202.1
25,25,200,24663.1,23206
25,25,200,23348.8,23212.5
25,25,210,21357.3,19976
25,25,210,21723.8,19975.4
25,25,210,21654.6,20067.5
25,25,210,21520,20044.6
25,25,210,22305.6,19986.2
25,25,220,21801.7,21565.7
25,25,220,21767.7,21319.8
25,25,220,21331.3,21308.8
25,25,220,21604.1,21542.1
25,25,220,21385.5,21314.7
25,25,230,20751.8,22511.4
25,25,230,20456.4,22274.7
25,25,230,20873.9,22303.2
25,25,230,22939.6,22272.7
25,25,230,22685.4,21949.7
25,25,240,22041.1,27583.4
25,25,240,22073.2,27537
25,25,240,21846.9,28163.3
25,25,240,22677.4,27088.8
25,25,240,22301.2,27563.6
25,25,250,23335.7,23397.3
25,25,250,23141.3,23808.2
25,25,250,22885,24093.4
25,25,250,22970.9,23781.6
25,25,250,22187.2,24063.2
25,25,260,21479.5,31212.8
25,25,260,22892.8,31164.8
25,25,260,21716.2,31073.3
25,25,260,22543.2,31679.2
25,25,260,22844.8,31176.5
25,25,270,23849.5,37206.5
25,25,270,24045.2,37166.2
25,25,270,23125.8,37249.1
25,25,270,23544.1,37155.9
25,25,270,23256,37187.8
25,25,280,23315.6,27530.5
25,25,280,22666.6,27875.6
25,25,280,23963,28373.8
25,25,280,23480.4,27355.4
25,25,280,24270.4,27389
25,25,290,25424.1,32392.9
25,25,290,23370.1,32367.6
25,25,290,24057.2,32359.2
25,25,290,23184.4,32356
25,25,290,23559,32370.8
25,25,300,23010.8,28291.8
25,25,300,22424.5,28328.1
25,25,300,23979.6,28399
25,25,300,22948,28530.6
25,25,300,24389.1,28382.4
