m,n,pctjeRayos,ECM,tiempo
25,25,100,0.188732,6001.59
25,25,100,0.103684,7049.89
25,25,100,0.103126,19436.7
25,25,100,0.140837,6693.28
25,25,100,0.123693,6823.15
25,25,110,0.0966127,9638.7
25,25,110,0.113124,9529.06
25,25,110,0.133919,17051
25,25,110,0.0937223,6444.79
25,25,110,0.107172,7133.91
25,25,120,0.134645,8361.99
25,25,120,0.13213,7317.69
25,25,120,0.336026,7037.26
25,25,120,0.293438,6786.28
25,25,120,0.126346,15223.6
25,25,130,0.116596,15437.3
25,25,130,0.111713,7620.2
25,25,130,0.0969084,7732.41
25,25,130,0.10651,7794.39
25,25,130,0.0971498,7378.94
25,25,140,0.0993245,21534.1
25,25,140,0.119309,8365.41
25,25,140,0.093446,9193.67
25,25,140,0.117568,8218.43
25,25,140,0.455945,8938.55
25,25,150,0.106726,8612.11
25,25,150,0.121698,9238.04
25,25,150,0.137218,12008.1
25,25,150,0.0959696,10402.5
25,25,150,0.103521,15614.2
25,25,160,0.103889,12297.7
25,25,160,0.114077,22347.3
25,25,160,0.144171,9515.95
25,25,160,0.31088,16325.8
25,25,160,0.0997743,9504.15
25,25,170,0.142239,9693.32
25,25,170,0.134383,18639.2
25,25,170,0.1011,9977.52
25,25,170,0.241632,9084.08
25,25,170,0.111405,9249.32
25,25,180,0.118995,10393.1
25,25,180,0.118483,9518.75
25,25,180,0.106761,19454.4
25,25,180,0.141845,12433.7
25,25,180,0.0943845,10077.3
25,25,190,0.129039,10793
25,25,190,0.140612,11611.8
25,25,190,0.131827,12618.1
25,25,190,0.098702,9975.52
25,25,190,0.0892094,11410.9
25,25,200,0.117329,10970.1
25,25,200,0.17796,12927.5
25,25,200,0.109847,10707.6
25,25,200,0.121966,11684.4
25,25,200,0.124657,24637
25,25,210,0.461008,11683.5
25,25,210,0.128253,11194.3
25,25,210,0.105084,10865.4
25,25,210,0.122786,12125
25,25,210,0.412163,14366.1
25,25,220,0.133188,11979.7
25,25,220,0.108334,11665.3
25,25,220,0.110307,21673.9
25,25,220,0.133413,13215.1
25,25,220,0.108326,16292.6
25,25,230,0.123245,13195.1
25,25,230,0.197367,19879
25,25,230,0.134358,12361.7
25,25,230,0.102088,14493.7
25,25,230,0.111351,11691.8
25,25,240,0.149403,11996.9
25,25,240,0.122709,12845.6
25,25,240,0.13864,16822.1
25,25,240,0.112692,14035.1
25,25,240,0.127112,12583.3
25,25,250,0.114479,26032.6
25,25,250,0.13688,13479.1
25,25,250,0.149433,12667.7
25,25,250,0.136506,20867.7
25,25,250,0.456735,15576.9
25,25,260,0.530385,14323.5
25,25,260,0.107724,13529.5
25,25,260,0.107912,18727.5
25,25,260,0.117878,17422.5
25,25,260,0.0913311,13178.5
25,25,270,0.154253,13544.9
25,25,270,0.114975,14252.9
25,25,270,0.141221,16111.6
25,25,270,0.111586,14901.1
25,25,270,0.0989289,24002.4
25,25,280,0.0962665,17268.9
25,25,280,0.108356,25522.1
25,25,280,0.164712,22502.2
25,25,280,0.111359,14707.9
25,25,280,0.118503,15581.8
25,25,290,0.10243,14490.3
25,25,290,0.104237,15072
25,25,290,0.110863,15264
25,25,290,0.114069,16014.8
25,25,290,0.119796,14455.8
25,25,300,0.111269,15762.8
25,25,300,0.125382,16195.3
25,25,300,0.12981,25411.5
25,25,300,0.171357,15838.5
25,25,300,0.11154,14624.4
