m,n,pctjeRayos,ECM,tiempo
25,25,100,0.105788,6037.74
25,25,100,0.136104,5986.65
25,25,100,0.11706,10578.9
25,25,100,0.326357,7576.35
25,25,100,0.108948,8986.65
25,25,110,0.108849,9136.17
25,25,110,0.104706,6564.15
25,25,110,0.115808,6476.22
25,25,110,0.117264,10132.6
25,25,110,0.103244,7219.14
25,25,120,0.134166,8417.35
25,25,120,0.130622,8450.82
25,25,120,0.148251,11368.4
25,25,120,0.114854,21200.8
25,25,120,0.109331,7908.13
25,25,130,0.541268,8235.39
25,25,130,0.158488,8243.51
25,25,130,0.268821,17059.8
25,25,130,0.103969,9228.95
25,25,130,0.0975714,20836.8
25,25,140,0.101257,12205.1
25,25,140,0.121361,12226.2
25,25,140,0.0973171,18311.5
25,25,140,0.105248,13248.8
25,25,140,0.103791,14815.3
25,25,150,0.118686,9180.12
25,25,150,0.110891,14028
25,25,150,0.107092,10313.9
25,25,150,0.110502,9102.11
25,25,150,0.130143,19587.8
25,25,160,0.114075,16995.8
25,25,160,0.103029,10579.2
25,25,160,0.0964872,21853.1
25,25,160,0.1062,9482.99
25,25,160,0.107503,10648.6
25,25,170,0.1068,9179.67
25,25,170,0.106767,9266.44
25,25,170,0.127613,9337.51
25,25,170,0.119682,11609.2
25,25,170,0.106774,19613.7
25,25,180,0.110893,10009
25,25,180,0.122518,16386.2
25,25,180,0.163794,13938.9
25,25,180,0.266941,12262.8
25,25,180,0.114451,10045.3
25,25,190,0.1296,16944.8
25,25,190,0.0974873,10238.6
25,25,190,0.138712,10873
25,25,190,0.110212,11976.8
25,25,190,0.120892,11198.8
25,25,200,0.104801,10461.5
25,25,200,0.15497,20143.9
25,25,200,0.0988159,10448.9
25,25,200,0.264857,10449.5
25,25,200,0.111431,11230
25,25,210,0.132076,15124.6
25,25,210,0.113366,10741.8
25,25,210,0.42115,20429.3
25,25,210,0.117041,11282.6
25,25,210,0.0956653,10834.5
25,25,220,0.108934,11238.9
25,25,220,0.327411,11389.2
25,25,220,0.116619,12634.6
25,25,220,0.14344,14825.2
25,25,220,0.119787,12099.7
25,25,230,0.0960073,12518.1
25,25,230,0.121576,11759.9
25,25,230,0.111028,13941.2
25,25,230,0.108677,17187.4
25,25,230,0.0994181,12174.4
25,25,240,0.109,13508.5
25,25,240,0.0978781,20617.5
25,25,240,0.126423,19063
25,25,240,0.104546,14684.4
25,25,240,0.107421,20579.4
25,25,250,0.0946389,12777.5
25,25,250,0.424948,23099.4
25,25,250,0.0924826,12651
25,25,250,0.0912946,14963.4
25,25,250,0.0965237,17141.4
25,25,260,0.0988156,21196
25,25,260,0.147437,18625.1
25,25,260,0.0955353,12758.9
25,25,260,0.116891,13228
25,25,260,0.114535,18626.7
25,25,270,0.167401,15625.1
25,25,270,0.102701,20070.1
25,25,270,0.124459,14645.4
25,25,270,0.11857,24298.4
25,25,270,0.130072,13608.6
25,25,280,0.118254,14116.5
25,25,280,0.106882,19473.8
25,25,280,0.111401,23566.7
25,25,280,0.129306,15793.6
25,25,280,0.119167,28354.2
25,25,290,0.154095,15990.5
25,25,290,0.118333,18788.2
25,25,290,0.135602,14713.4
25,25,290,0.12211,15620.8
25,25,290,0.123402,17166.7
25,25,300,0.563409,14996.4
25,25,300,0.09372,22829.1
25,25,300,0.104549,27846
25,25,300,0.119733,15387.5
25,25,300,0.100629,15982.5
