m,n,pctjeRayos,ECM,tiempo
25,25,100,3.31472e+09,11695.5
25,25,100,1.74654e+10,11698.5
25,25,100,1.27027e+09,11663.9
25,25,100,1.80754e+10,11685.6
25,25,100,3.16428e+10,11722.5
25,25,110,1.12495e+67,13124.5
25,25,110,1.96005e+68,12988.2
25,25,110,1.25963e+69,13050.6
25,25,110,3.79792e+67,13004.2
25,25,110,1.99447e+67,12989.7
25,25,120,2.99772e+10,15539.7
25,25,120,3.51738e+11,15570.6
25,25,120,1.2809e+10,15545
25,25,120,3.14205e+09,15538.2
25,25,120,1.9397e+11,15542.7
25,25,130,1.28567e+10,13669.6
25,25,130,5.81436e+10,13685.7
25,25,130,1.1826e+11,13696
25,25,130,8.08918e+10,13692.4
25,25,130,7.91706e+10,13722.6
25,25,140,2.22586e+08,18149.4
25,25,140,1.61986e+09,18136.4
25,25,140,8.45589e+08,18144.7
25,25,140,1.4416e+09,18162.6
25,25,140,6.64156e+08,18170
25,25,150,1.99814e+11,15682.2
25,25,150,3.27888e+09,15715.6
25,25,150,7.66186e+10,15689.3
25,25,150,3.74275e+10,15732.2
25,25,150,4.95309e+09,15687.6
25,25,160,2.07348e+08,30220.2
25,25,160,5.87226e+07,30235
25,25,160,9.33201e+07,30241.4
25,25,160,1.65301e+08,30193.5
25,25,160,4.73889e+07,30213.1
25,25,170,2.01735e+09,17642.8
25,25,170,3.11458e+10,17666.3
25,25,170,1.35863e+11,17595.1
25,25,170,3.94271e+10,17585.1
25,25,170,4.76582e+10,17597.6
25,25,180,1.14589e+10,20983.5
25,25,180,2.80329e+09,20967
25,25,180,5.30502e+09,20990.9
25,25,180,5.08401e+09,20998.6
25,25,180,1.70403e+10,20992.2
25,25,190,4.01359e+08,19385.6
25,25,190,2.02829e+09,19389.4
25,25,190,4.14335e+09,19399.3
25,25,190,7.47446e+08,19417.9
25,25,190,1.48016e+08,19401.8
25,25,200,7.95602e+09,23653.8
25,25,200,9.22753e+08,23626.8
25,25,200,1.6674e+10,23655.1
25,25,200,6.01096e+09,23638.2
25,25,200,1.31866e+09,23646.4
25,25,210,5.14321e+09,23382
25,25,210,6.34936e+08,23363.4
25,25,210,4.65643e+08,23829.3
25,25,210,2.94549e+08,23807
25,25,210,4.88419e+08,23363
25,25,220,1.96171e+08,30508.1
25,25,220,3.22068e+08,30074.4
25,25,220,4.99664e+08,30537
25,25,220,9.11509e+07,30513.2
25,25,220,1.07668e+08,30573.8
25,25,230,7.59935e+09,22979.9
25,25,230,8.99899e+09,23207
25,25,230,1.67321e+09,23200.7
25,25,230,5.22281e+10,23101.9
25,25,230,9.14889e+09,22623.3
25,25,240,1.34054e+11,24251.9
25,25,240,7.09168e+10,24204.2
25,25,240,1.66458e+11,23564.5
25,25,240,3.08722e+11,23646.9
25,25,240,2.94617e+08,24263.3
25,25,250,3.43581e+08,26339.8
25,25,250,3.41276e+08,25823.4
25,25,250,1.77294e+08,26279.1
25,25,250,4.51318e+08,26247.3
25,25,250,2.24809e+08,25743.3
25,25,260,4.3677e+09,37692.2
25,25,260,1.06742e+08,37720.4
25,25,260,9.18701e+08,37702.9
25,25,260,2.48215e+09,37718.2
25,25,260,6.71258e+09,37714.4
25,25,270,4.06031e+10,31539.8
25,25,270,1.28309e+08,30718.9
25,25,270,1.72708e+08,30731.7
25,25,270,3.87925e+09,30757.2
25,25,270,5.04154e+09,30730.2
25,25,280,3.3268e+10,27304.5
25,25,280,2.52709e+10,27301.1
25,25,280,4.13552e+10,27314.8
25,25,280,1.42298e+10,27296.8
25,25,280,3.63352e+09,27286.4
25,25,290,5.52452e+08,30156.9
25,25,290,1.05086e+08,30150.8
25,25,290,1.73563e+09,30186
25,25,290,1.36367e+08,30168.6
25,25,290,6.47419e+08,30191.7
25,25,300,8.02703e+07,33566.7
25,25,300,1.01671e+08,33544.9
25,25,300,4.16449e+07,33514.7
25,25,300,5.39959e+07,33562.5
25,25,300,4.07108e+07,33553.1
