m,n,pctjeRayos,ECM,tiempo
25,25,100,20671.4,16115.1
25,25,100,20919.4,15953
25,25,100,20406.2,15960.8
25,25,100,20460.5,15944.7
25,25,100,21178.2,15935.9
25,25,110,20024.7,15717.3
25,25,110,20712.9,16273.5
25,25,110,20768.1,16215.5
25,25,110,20961.9,16268.6
25,25,110,21312.7,16245.5
25,25,120,21486.8,17014.1
25,25,120,22095.7,16980.9
25,25,120,21434.6,16958.8
25,25,120,21893.3,16982.8
25,25,120,21107.3,16978.5
25,25,130,21804.8,18358
25,25,130,20871.4,18355.7
25,25,130,21233,18374.9
25,25,130,19299.8,18363.1
25,25,130,20652.2,18360.5
25,25,140,20671.7,19418.7
25,25,140,22344.6,19470.7
25,25,140,22691.1,19483.8
25,25,140,21582.6,19501.2
25,25,140,20323.3,19487.9
25,25,150,20905.7,20796.1
25,25,150,21040.1,20791.7
25,25,150,20699,20811.5
25,25,150,21228,21027.7
25,25,150,21469.4,20899.7
25,25,160,20544.1,22272.9
25,25,160,21132.4,22267
25,25,160,20678.3,22272.3
25,25,160,21336.8,22296.2
25,25,160,21580.8,22282.6
25,25,170,20718.2,23088.3
25,25,170,20603.1,23052.8
25,25,170,21578.5,24132.4
25,25,170,20754.1,23055.1
25,25,170,20991.1,23080.9
25,25,180,19595.9,24270.6
25,25,180,21020.2,24260.4
25,25,180,21063.1,24256.5
25,25,180,21121,24257.8
25,25,180,21009.2,24268.3
25,25,190,22506.9,25628.9
25,25,190,21390.3,25626.8
25,25,190,21729.6,25818.5
25,25,190,22011.7,26022
25,25,190,22032.7,25652.8
25,25,200,23172.9,28208.9
25,25,200,22500,28123.9
25,25,200,22650.1,28101.6
25,25,200,22281.9,28112.3
25,25,200,23225.2,28105.1
25,25,210,22459.2,28290.8
25,25,210,21741.9,28279.5
25,25,210,21980.3,28307.8
25,25,210,22650.1,28327.6
25,25,210,21105,28285.4
25,25,220,21160.2,30223.8
25,25,220,23070,30219.6
25,25,220,20603.2,30254.7
25,25,220,21559.2,30228.1
25,25,220,20897.4,30222.7
25,25,230,22216.7,30629
25,25,230,20813.4,30665.9
25,25,230,20719,30623.9
25,25,230,21107.6,30648.1
25,25,230,21842.7,30639.5
25,25,240,20260.1,32379.7
25,25,240,20271.5,32341.9
25,25,240,20531.4,32683.7
25,25,240,20807.2,32471.7
25,25,240,19747.3,32442.4
25,25,250,20833.1,33471
25,25,250,21056.3,33426
25,25,250,19833.3,33435.9
25,25,250,21270.8,33445.3
25,25,250,21460,33427.8
25,25,260,21546.7,35348.1
25,25,260,20945.2,35336.4
25,25,260,21650.1,35305.7
25,25,260,21219.4,35304.8
25,25,260,21337.9,35349.6
25,25,270,20860.8,35983.5
25,25,270,21209.6,35937.6
25,25,270,22806.6,35955.7
25,25,270,21921.3,35986
25,25,270,21400,36998.1
25,25,280,21481.3,38402.2
25,25,280,20585.7,38370.3
25,25,280,20419.6,38628
25,25,280,20653,38583.4
25,25,280,20311.1,38787.7
25,25,290,20848.8,39629.1
25,25,290,20549.6,39282.5
25,25,290,20618.3,38464.5
25,25,290,20298.4,39199.3
25,25,290,20572.5,39222.8
25,25,300,21826.1,40695.2
25,25,300,20391.7,40619.5
25,25,300,22543.8,40617.4
25,25,300,21998.7,40655.9
25,25,300,21206.6,40618.1
