m,n,pctjeRayos,ECM,tiempo
25,25,100,0.100237,8833.43
25,25,100,0.100265,8727.15
25,25,100,0.133342,8560.43
25,25,100,0.100553,8502.92
25,25,100,0.134652,8484.51
25,25,110,0.348675,9484.88
25,25,110,0.359442,9506.01
25,25,110,0.359794,9476.52
25,25,110,0.355803,9521.63
25,25,110,0.359292,9316.87
25,25,120,0.104148,9472.3
25,25,120,0.105222,9580.34
25,25,120,0.0984992,9476.36
25,25,120,0.0976192,9601.44
25,25,120,0.0992523,9612.51
25,25,130,0.101704,10470.9
25,25,130,0.100787,10543.6
25,25,130,0.101221,10372.3
25,25,130,0.100722,10529
25,25,130,0.100782,10537
25,25,140,0.103363,10991.1
25,25,140,0.104105,11056
25,25,140,0.10373,10892.3
25,25,140,0.105043,10893
25,25,140,0.104025,11035.1
25,25,150,0.102351,11744.3
25,25,150,0.102145,11707.1
25,25,150,0.103982,11806.7
25,25,150,0.0996845,11727.3
25,25,150,0.102457,11773.8
25,25,160,0.101098,12431.3
25,25,160,0.101917,12426.3
25,25,160,0.100247,12356.7
25,25,160,0.101194,12200.1
25,25,160,0.103302,12366.9
25,25,170,0.474122,12907.7
25,25,170,0.428167,12935.6
25,25,170,0.462928,12901.1
25,25,170,0.449526,12880.1
25,25,170,0.432434,12965.4
25,25,180,0.124061,13533.8
25,25,180,0.102074,13570.4
25,25,180,0.136643,13534.5
25,25,180,0.105575,13810.1
25,25,180,0.0943984,13711.3
25,25,190,0.441275,14754.4
25,25,190,0.443282,14383.6
25,25,190,0.453598,14250.6
25,25,190,0.457337,14256.2
25,25,190,0.452116,14304.8
25,25,200,0.317479,15848.1
25,25,200,0.304478,15785.3
25,25,200,0.300562,15785.1
25,25,200,0.309748,15789.9
25,25,200,0.312208,15753.2
25,25,210,0.100182,15299
25,25,210,0.0996246,15324.6
25,25,210,0.104933,15307.7
25,25,210,0.0986083,15283.4
25,25,210,0.102297,15332.2
25,25,220,0.440133,16010.3
25,25,220,0.447336,16040.1
25,25,220,0.424647,16012.3
25,25,220,0.429993,16047.6
25,25,220,0.450448,16041.2
25,25,230,0.101476,17097.7
25,25,230,0.101951,17049.6
25,25,230,0.101455,17080.7
25,25,230,0.100837,17068.8
25,25,230,0.100971,17179
25,25,240,0.0987709,17282.1
25,25,240,0.110297,17272.2
25,25,240,0.123577,17278.8
25,25,240,0.11062,17283.7
25,25,240,0.0942168,17264.2
25,25,250,0.463261,18383.6
25,25,250,0.440597,18501.2
25,25,250,0.438238,18544.9
25,25,250,0.463185,18462.3
25,25,250,0.434448,18382.7
25,25,260,0.102415,18652.6
25,25,260,0.0997544,18661.9
25,25,260,0.102714,19684.4
25,25,260,0.104516,18816.6
25,25,260,0.102031,18987.5
25,25,270,0.100646,20081.6
25,25,270,0.102806,20055.7
25,25,270,0.102246,20019.3
25,25,270,0.101822,19994
25,25,270,0.100389,20016
25,25,280,0.0996839,19377.5
25,25,280,0.121098,19416.6
25,25,280,0.101912,19428.1
25,25,280,0.102814,19381.7
25,25,280,0.101323,19370.9
25,25,290,0.122238,20883.1
25,25,290,0.100416,20873
25,25,290,0.12015,20942
25,25,290,0.102703,20876.3
25,25,290,0.187098,20888.2
25,25,300,0.0991239,20981
25,25,300,0.102062,20846.3
25,25,300,0.0996032,20898.1
25,25,300,0.100341,21012.1
25,25,300,0.0996653,20849.8
