m,n,pctjeRayos,ECM,tiempo
25,25,100,0.100121,8513.41
25,25,100,0.0975183,8422.4
25,25,100,0.0999416,8289.85
25,25,100,0.0997067,8283.64
25,25,100,0.103753,8358.44
25,25,110,0.367223,9238.42
25,25,110,0.38075,9253.31
25,25,110,0.350683,9407.36
25,25,110,0.37154,9432.26
25,25,110,0.360572,9226.27
25,25,120,0.101846,9446
25,25,120,0.0970195,9389.98
25,25,120,0.0977277,9507.39
25,25,120,0.0950431,9536.21
25,25,120,0.10082,9507.1
25,25,130,0.101455,10348.4
25,25,130,0.100087,10354.3
25,25,130,0.100624,10518.4
25,25,130,0.102423,10528.9
25,25,130,0.103508,10485
25,25,140,0.104798,10847.3
25,25,140,0.105263,10853.3
25,25,140,0.105641,10839.6
25,25,140,0.104114,10835.8
25,25,140,0.105833,10891.7
25,25,150,0.102411,11600.7
25,25,150,0.102657,11674.9
25,25,150,0.100251,11530.1
25,25,150,0.102375,11532.1
25,25,150,0.101592,11598
25,25,160,0.101388,12329.8
25,25,160,0.100711,12317.7
25,25,160,0.101552,12319.9
25,25,160,0.101169,12352.2
25,25,160,0.101157,12497.2
25,25,170,0.450404,13297.4
25,25,170,0.442297,12839.5
25,25,170,0.446363,13146.9
25,25,170,0.428418,12902.6
25,25,170,0.431254,12866.6
25,25,180,0.115185,13233.4
25,25,180,0.103581,13277.8
25,25,180,0.103356,13243.9
25,25,180,0.0988325,13247.8
25,25,180,0.104738,13226.2
25,25,190,0.425086,13959.6
25,25,190,0.448227,13927.9
25,25,190,0.433369,13889.2
25,25,190,0.460374,13884.4
25,25,190,0.446144,13884.1
25,25,200,0.299935,16115.9
25,25,200,0.303229,16084.8
25,25,200,0.296572,17132
25,25,200,0.305532,16145.7
25,25,200,0.297055,16031
25,25,210,0.101512,15266.1
25,25,210,0.10491,15262.7
25,25,210,0.100317,15277.9
25,25,210,0.100129,15298.8
25,25,210,0.102801,15248.5
25,25,220,0.432904,16004.9
25,25,220,0.420732,16007.1
25,25,220,0.420657,16003.8
25,25,220,0.456898,16002.5
25,25,220,0.418649,16010.3
25,25,230,0.102177,16989.2
25,25,230,0.101008,16905.9
25,25,230,0.10222,16971.3
25,25,230,0.101348,17001.8
25,25,230,0.101629,16926.7
25,25,240,0.0969037,16942.4
25,25,240,0.0939159,16929.9
25,25,240,0.116556,16945.2
25,25,240,0.104446,16910
25,25,240,0.111261,16918.6
25,25,250,0.458818,17914.6
25,25,250,0.44898,17895.4
25,25,250,0.428951,17903.4
25,25,250,0.439643,17892.8
25,25,250,0.44637,17919
25,25,260,0.102423,18635.3
25,25,260,0.102279,18651.4
25,25,260,0.101978,18663.4
25,25,260,0.102276,18664
25,25,260,0.103243,18650
25,25,270,0.100575,20065.3
25,25,270,0.102356,20000.3
25,25,270,0.101674,20039.5
25,25,270,0.101658,20026.9
25,25,270,0.100562,19969.5
25,25,280,0.10104,19383.6
25,25,280,0.107859,19419.1
25,25,280,0.102693,19405.8
25,25,280,0.104599,19405.4
25,25,280,0.101207,19396.1
25,25,290,0.116974,20062
25,25,290,0.0980705,20068.4
25,25,290,0.130547,20062.8
25,25,290,0.106937,20076.5
25,25,290,0.110701,20054.6
25,25,300,0.103122,21712.8
25,25,300,0.102143,21735.1
25,25,300,0.100147,21712.2
25,25,300,0.102667,21902.6
25,25,300,0.0998901,21702.3
