m,n,pctjeRayos,ECM,tiempo
25,25,100,4.29442e+205,16716.1
25,25,100,7.6673e+205,16331.7
25,25,100,2.07688e+206,16336.4
25,25,100,1.6051e+204,16337.7
25,25,100,5.07944e+206,16336.9
25,25,110,1.46488e+34,16691.2
25,25,110,1.16519e+34,16691.7
25,25,110,7.03097e+33,16693.4
25,25,110,7.47188e+33,16732.6
25,25,110,1.15479e+34,16706.9
25,25,120,9.65252e+09,17697.2
25,25,120,2.54323e+10,17668.7
25,25,120,6.79903e+09,17679.4
25,25,120,1.70024e+10,17663.8
25,25,120,2.8728e+10,17690.1
25,25,130,1.03292e+11,19866.5
25,25,130,1.63004e+12,19925.5
25,25,130,9.96322e+11,19898.2
25,25,130,1.04726e+13,19838.9
25,25,130,1.10265e+12,19856.5
25,25,140,6.60755e+08,21138.9
25,25,140,1.32282e+09,21465.4
25,25,140,8.83842e+08,21213.7
25,25,140,1.95845e+09,21181.3
25,25,140,1.52587e+09,21152
25,25,150,5.0975e+12,22108.5
25,25,150,2.3865e+13,22123.6
25,25,150,5.27499e+12,22108.2
25,25,150,1.10385e+12,22114.7
25,25,150,3.35281e+12,22205
25,25,160,6.94289e+89,23335.5
25,25,160,5.92398e+89,24265.1
25,25,160,3.18865e+89,23309.5
25,25,160,4.09568e+89,23289.1
25,25,160,3.17533e+89,23281.5
25,25,170,2.84449e+10,24015.7
25,25,170,3.17449e+09,24391.1
25,25,170,4.20958e+10,24369.5
25,25,170,1.73846e+10,24384.9
25,25,170,1.12575e+09,24391.1
25,25,180,2.06784e+38,25359.9
25,25,180,4.73635e+38,25362.7
25,25,180,6.95276e+38,25378.6
25,25,180,2.3799e+38,25386.7
25,25,180,1.11429e+39,25393.4
25,25,190,5.90056e+09,27619.1
25,25,190,3.3259e+08,27638.9
25,25,190,3.73092e+09,27856
25,25,190,9.96671e+09,27587.7
25,25,190,3.29741e+09,27780.2
25,25,200,7.93006e+11,28260.7
25,25,200,1.91822e+14,28300
25,25,200,4.99344e+13,28082.6
25,25,200,1.13479e+14,28167.5
25,25,200,1.47666e+13,29146.8
25,25,210,1.20232e+37,30329.2
25,25,210,5.47029e+38,29339.5
25,25,210,5.96998e+38,29320.2
25,25,210,5.72006e+38,29331.3
25,25,210,3.28021e+38,29966.3
25,25,220,1.25597e+198,32067.3
25,25,220,3.83801e+198,31297.9
25,25,220,4.36646e+198,32030.1
25,25,220,4.93236e+198,31327.2
25,25,220,3.9917e+198,32387.9
25,25,230,1.11116e+10,32766.9
25,25,230,6.43577e+08,32446.3
25,25,230,5.72905e+09,31921
25,25,230,1.04163e+10,31969.3
25,25,230,5.82185e+09,31965.3
25,25,240,3.20361e+58,34249.7
25,25,240,9.93042e+58,34539.7
25,25,240,2.46278e+59,33473
25,25,240,1.70383e+59,33615.2
25,25,240,8.7425e+56,34223.2
25,25,250,4.0331e+13,34491.5
25,25,250,3.83065e+13,34468.6
25,25,250,3.20051e+13,34499.2
25,25,250,1.24158e+13,34500.6
25,25,250,1.4901e+11,34481.1
25,25,260,2.24779e+09,36543.8
25,25,260,8.76176e+08,36794.4
25,25,260,1.47573e+10,35920.4
25,25,260,1.1999e+09,35743.5
25,25,260,1.92467e+10,35928.7
25,25,270,3.05706e+11,39558
25,25,270,7.621e+11,38205.7
25,25,270,1.03967e+12,37318.3
25,25,270,5.9776e+11,38039.4
25,25,270,1.32824e+12,37271.2
25,25,280,5.95158e+66,39904.5
25,25,280,3.926e+65,38933
25,25,280,2.19822e+66,38932.9
25,25,280,4.35017e+66,39892.6
25,25,280,4.23012e+66,38950.1
25,25,290,4.07192e+35,39974.4
25,25,290,6.9242e+34,40796.7
25,25,290,3.62448e+34,40935.4
25,25,290,2.17886e+35,40839.3
25,25,290,2.82426e+35,40946.5
25,25,300,2.15297e+10,42049.1
25,25,300,2.22221e+09,42094.8
25,25,300,2.95768e+10,42099.9
25,25,300,3.602e+09,42092
25,25,300,1.91512e+09,42203.6
