1797,1256,1642,1940,937,1808,716,1378,1201,1543,1852,1234,1433,1852,1356,1356,1554,1091,1422,1797,1433,1664,1422,1940,1367,1587,1345,1753,1135,1301,1753,1025
1179,1190,2028,860,2172,231,1995,1532,2150,1290,1290,1047,1675,860,2238,595,1477,1477,981,1874,1720,1124,1841,826,1433,1234,1808,1312,2072,727,1808,1113
1201,2116,804,2558,0,2216,1256,1929,1058,1256,1190,1764,1223,2017,1014,1642,1356,1554,1984,1025,1400,1433,915,1984,1168,1973,970,2216,926,2105,1290,1499
1929,1245,2260,904,1697,1157,2161,970,1686,959,1554,1532,2161,782,1510,1973,992,1422,1179,1290,1422,1664,1808,970,1797,330,2083,1411,1675,1025,2061,1433
628,2502,661,1819,1047,1797,749,1907,738,2227,1455,1697,959,1378,1653,1234,2205,1168,1675,1400,1973,1168,1047,2150,782,2513,661,1554,1532,1069,1609,1753
2227,1312,1830,705,1786,1179,1808,1113,2050,937,1742,848,1433,1720,1168,2039,970,1642,1400,1863,1157,1764,1675,1444,1885,286,2558,749,2635,904,937,1720
1422,926,1025,1025,2105,1731,1984,2480,2238,2249,1334,1014,1709,1323,1874,1223,1400,1168,1598,1422,1697,926,1852,1907,1609,2932,705,1973,396,2646,165,1642
1312,1742,2028,2304,2315,2954,2271,2458,2734,2282,2216,3175,1764,2017,782,1609,1510,1532,1455,1532,1863,2679,2403,2370,2657,1786,3175,1940,2943,992,2194,463
1609,1554,2403,1962,3451,2072,2921,2403,2844,1786,3054,1918,3406,1984,2370,1653,2116,2017,1929,2778,2690,2458,2668,2524,2569,2866,2105,2392,2646,2569,2072,1190
1422,2370,2227,3109,1675,2712,2028,3043,1896,3462,1874,2954,1852,3098,2039,3065,1686,3065,2789,2425,2569,2359,2436,2690,2359,2249,2811,2602,2425,2954,1797,1146
1885,2139,2513,2006,3373,2205,3384,1686,3175,2061,3164,2348,3263,2050,3506,1951,3252,2624,2580,2381,2381,3109,2580,2425,2613,2701,2657,2050,2866,2436,2337,1951
2039,2293,2425,3164,2513,3098,1742,3572,2469,2921,1852,3131,1775,3329,2172,3296,2238,2789,2712,2999,1984,1863,2580,2635,3065,2480,2646,2811,2436,2558,2348,1697
1587,2646,2524,2392,2690,1885,3164,1543,1675,1290,1631,1477,3054,2139,2954,2613,2359,1775,1896,1940,1576,1819,1312,1786,2006,2359,3296,2381,2480,3076,2469,1962
2006,3109,2546,2756,2513,2480,639,2304,1323,1587,1929,1720,1885,2679,3682,2899,1720,1245,1631,1554,1863,1267,1753,1521,1488,1455,1896,2569,3054,2524,3142,1973
2194,2822,2976,2028,2524,430,2513,871,2172,1279,1499,1587,2370,5116,3572,2701,3605,2370,1720,1720,1587,1609,1356,1532,1753,2271,1069,1808,2249,3572,2028,2888
2811,3230,1389,2139,496,2293,926,2028,1466,1742,2083,1477,3087,3991,2734,3892,2756,4057,1609,1609,1786,1510,1929,1653,1488,1367,2050,1422,1609,2271,2844,2304
3098,1874,2491,992,2249,1455,1742,1290,1819,1521,1598,1411,3792,2921,3219,2976,3307,2866,3429,1455,1863,1929,2006,1223,2116,1455,1642,1819,2249,1543,2767,2800
2315,2381,551,2315,1124,2359,1422,1675,1565,1797,1609,1940,2524,2679,2458,3506,2855,3528,2822,2249,1124,2050,1543,1367,1808,1764,1631,1709,1025,1984,2756,2480
2491,1124,2535,782,2458,826,2050,1653,1179,1664,1642,1367,1477,1587,1664,1720,3484,2756,3550,1918,1764,1775,1653,1797,1466,1697,1797,1642,926,2976,2855,2150
1863,2183,1135,2767,562,2359,970,1896,2216,2061,1510,2083,1631,1907,1753,1234,2524,3406,2602,2216,1323,1697,1576,1488,1819,1411,1885,1179,2381,2469,2480,2458
1697,2039,1995,837,2403,1113,1929,1256,1929,1069,2061,1653,1819,1598,1962,3032,2767,1179,2646,1378,2348,1675,2083,1731,1256,1819,1334,2535,1058,2238,3131,2127
2094,2249,992,2546,573,2216,661,2127,1223,1885,1466,1653,1113,1940,2855,3704,1510,2337,948,2238,1973,1598,1499,1433,1984,1135,1874,1345,1543,3451,2723,1301
1532,1940,1907,1036,2447,1400,2161,1091,1709,1334,1576,1653,1907,1499,3859,1697,4189,1301,2304,1664,1995,1157,1510,1609,1995,2017,1808,926,2282,2877,1874,926
1642,2558,1510,1554,1345,2161,893,2227,1290,1940,1212,2216,1146,2888,2172,4013,2282,4123,1124,1565,1609,1852,1212,2183,1003,1907,1102,2227,2304,2668,1808,1532
738,1664,2436,1631,1190,1466,2315,1367,1940,1488,2105,1223,2458,2723,3550,1841,3616,2249,3605,1929,1455,1179,2249,1334,2183,1565,2017,2447,3175,1940,1069,1312
1378,694,2150,2326,2172,1091,1389,1929,1499,1731,992,2844,3329,2591,3120,3219,2833,3318,2017,3362,2172,2546,1003,2116,1334,2635,1367,3528,1653,1267,705,2414
1841,1929,485,2315,2083,2271,1245,1819,1764,1808,3682,3087,2811,2999,2668,3605,3142,2425,3186,2194,3252,2965,2282,1653,2447,1775,3649,2039,1323,2039,2039,904
1014,1896,1951,1102,2734,1686,2701,2480,2844,3517,2580,3021,2249,2238,3087,1764,2910,2899,2414,3252,2017,2326,2668,2910,2635,3274,1973,848,2194,1995,452,1830
1422,1256,1786,848,1201,2271,1411,3021,2800,1797,2976,2403,2635,2988,2304,3429,1808,2524,2789,2480,2767,2668,2855,2734,2558,2348,1201,2403,2150,639,1543,1532
1201,1686,1433,2028,915,1631,2535,1080,2392,3759,1841,2613,2734,2613,2403,2061,3098,2403,2690,2701,2161,2326,2811,1984,2359,1201,2403,1135,1598,1499,1234,1499
1477,1378,1742,1245,1808,1389,1312,1455,1543,1499,3296,1995,2337,2216,2767,3076,1444,3373,1709,2337,2028,2139,2293,2172,1179,2039,1058,2139,1466,749,1841,1775
1554,1312,1025,1565,1279,1488,1411,1984,1256,1477,1113,2580,2083,1797,1598,1267,1973,1058,1874,1444,1742,1686,1642,1036,1356,1554,1808,1400,628,1786,1642,1323
